source,target
absent_reason,fields.basic_information.absent_reason
active_child_present,fields.present_active_page.active_child_present
actual_kg,fields.basic_information1.actual_kg
age_days,fields.age_days
age_in_months,fields.age_in_months
age_only_breastfed,fields.basic_information2.basic_information2_breastfeeding.age_only_breastfed
age_stopped_all_breastfeeding_months,fields.age_stopped_all_breastfeeding_months
age_stopped_breastfeeding,fields.basic_information2.basic_information2_breastfeeding.age_stopped_breastfeeding
age_stopped_only_breastfeeding_months,fields.age_stopped_only_breastfeeding_months
breastfeeding_currently,fields.basic_information2.basic_information2_breastfeeding.breastfeeding_currently
breastfeeding_only,fields.breastfeeding_only
calculated_weight_kg,fields.basic_information1.zscore.calculated_weight_kg
change_decrease_height,fields.basic_information1.change_decrease_height
change_decrease_ounces1,fields.basic_information1.change_decrease_ounces1
change_decrease_ounces2,fields.basic_information1.change_decrease_ounces2
change_decrease_pounds1,fields.basic_information1.change_decrease_pounds1
change_decrease_pounds2,fields.basic_information1.change_decrease_pounds2
change_increase_height,fields.basic_information1.change_increase_height
change_increase_ounces1,fields.basic_information1.change_increase_ounces1
change_increase_ounces2,fields.basic_information1.change_increase_ounces2
change_increase_pounds1,fields.basic_information1.change_increase_pounds1
change_increase_pounds2,fields.basic_information1.change_increase_pounds2
child_dob,fields.child_dob
child_dob_formatted,fields.child_dob_formatted
patient_name,fields.patient_name
child_present,fields.child_present
child_sex,fields.child_sex
child_status,fields.child_status
confirmation_dob,fields.confirmation_page.confirmation_dob
contact,fields.patient_id
contact,contact
current_date,fields.current_date
current_date_decimal_date_time,fields.visit_date_page.current_date_decimal_date_time
current_date_fixed,fields.current_date_fixed
current_date_formatted,fields.current_date_formatted
current_lhfa_grade,fields.basic_information1.zscore.current_lhfa_grade
current_wfa_grade,fields.basic_information1.zscore.current_wfa_grade
current_wfh_grade,fields.basic_information1.zscore.current_wfh_grade
currently_breastfeeding,fields.currently_breastfeeding
days_since_last_deparasiting,fields.days_since_last_deparasiting
deparasiting_q1,fields.basic_information4.deparasiting_q1
deparasiting_q2,fields.basic_information4.deparasiting_q2
deparasiting_q3,fields.basic_information4.deparasiting_q3
drink_type,fields.basic_information2.basic_information2_food.drink_type
final_deparasite_date,fields.basic_information4.final_deparasite_date
form,form
height_cm,fields.basic_information1.zscore.height_cm
inactive_child_present,fields.present_inactive_page.inactive_child_present
kg_lower_bound,fields.basic_information1.kg_lower_bound
kg_upper_bound,fields.basic_information1.kg_upper_bound
lhfa_grade_difference,fields.basic_information1.zscore.lhfa_grade_difference
